fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	AT_PA_06_13	AT_PA_06_13	AT_PA_06_13	AT_PA_06_13	AT_PA_06_13
NA	AT_PA_06_14	AT_PA_06_14	AT_PA_06_14	AT_PA_06_14	NA
NA	AT_PA_06_15	AT_PA_06_15	AT_PA_06_15	AT_PA_06_15	AT_PA_06_15
NA	AT_PA_06_16	AT_PA_06_16	AT_PA_06_16	AT_PA_06_16	AT_PA_06_16
NA	AT_PA_06_17	AT_PA_06_17	AT_PA_06_17	AT_PA_06_17	NA
NA	AT_PA_06_18	AT_PA_06_18	AT_PA_06_18	AT_PA_06_18	AT_PA_06_18
NA	AT_PA_06_19	AT_PA_06_19	AT_PA_06_19	AT_PA_06_19	AT_PA_06_19
NA	AT_PA_06_2	AT_PA_06_2	AT_PA_06_2	AT_PA_06_02	NA
NA	AT_PA_06_20	AT_PA_06_20	AT_PA_06_20	AT_PA_06_20	AT_PA_06_20
NA	AT_PA_06_21	AT_PA_06_21	AT_PA_06_21	AT_PA_06_21	AT_PA_06_21
NA	AT_PA_06_22	AT_PA_06_22	AT_PA_06_22	AT_PA_06_22	AT_PA_06_22
NA	AT_PA_06_23	AT_PA_06_23	AT_PA_06_23	AT_PA_06_23	AT_PA_06_23
NA	AT_PA_06_24	AT_PA_06_24	AT_PA_06_24	AT_PA_06_24	AT_PA_06_24
NA	AT_PA_06_25	AT_PA_06_25	AT_PA_06_25	AT_PA_06_25	AT_PA_06_25
NA	AT_PA_06_3	AT_PA_06_3	AT_PA_06_3	AT_PA_06_03	AT_PA_06_03
NA	AT_PA_06_4	AT_PA_06_4	AT_PA_06_4	AT_PA_06_04	AT_PA_06_04
NA	AT_PA_06_5	AT_PA_06_5	AT_PA_06_5	AT_PA_06_05	AT_PA_06_05
NA	AT_PA_06_6	AT_PA_06_6	AT_PA_06_6	AT_PA_06_06	AT_PA_06_06
NA	AT_PA_06_7	AT_PA_06_7	AT_PA_06_7	AT_PA_06_07	AT_PA_06_07
NA	AT_PA_06_8	AT_PA_06_8	AT_PA_06_8	AT_PA_06_08	AT_PA_06_08
NA	AT_PA_06_9	AT_PA_06_9	AT_PA_06_9	AT_PA_06_09	AT_PA_06_09
NA	CH_PA_01_01	CH_PA_01_01	CH_PA_01_01	CH_PA_01_01	CH_PA_01_01
NA	CH_PA_01_02	CH_PA_01_02	CH_PA_01_02	CH_PA_01_02	NA
NA	CH_PA_01_03	CH_PA_01_03	CH_PA_01_03	CH_PA_01_03	CH_PA_01_03
NA	CH_PA_01_04	CH_PA_01_04	CH_PA_01_04	CH_PA_01_04	CH_PA_01_04
NA	CH_PA_01_05	CH_PA_01_05	CH_PA_01_05	CH_PA_01_05	NA
NA	CH_PA_01_06	CH_PA_01_06	CH_PA_01_06	CH_PA_01_06	CH_PA_01_06
NA	CH_PA_01_07	CH_PA_01_07	CH_PA_01_07	CH_PA_01_07	CH_PA_01_07
NA	CH_PA_01_08	CH_PA_01_08	CH_PA_01_08	CH_PA_01_08	NA
NA	CH_PA_01_09	CH_PA_01_09	CH_PA_01_09	CH_PA_01_09	NA
NA	CH_PA_01_10	CH_PA_01_10	CH_PA_01_10	CH_PA_01_10	NA
NA	CH_PA_01_11	CH_PA_01_11	CH_PA_01_11	CH_PA_01_11	CH_PA_01_11
NA	CH_PA_01_12	CH_PA_01_12	NA	NA	NA
NA	CH_PA_01_13	CH_PA_01_13	CH_PA_01_13	CH_PA_01_13	NA
NA	CH_PA_01_14	CH_PA_01_14	CH_PA_01_14	CH_PA_01_14	CH_PA_01_14
NA	CH_PA_01_15	CH_PA_01_15	CH_PA_01_15	CH_PA_01_15	CH_PA_01_15
NA	CH_PA_01_16	CH_PA_01_16	CH_PA_01_16	CH_PA_01_16	CH_PA_01_16
NA	CH_PA_01_17	CH_PA_01_17	CH_PA_01_17	CH_PA_01_17	CH_PA_01_17
NA	CH_PA_01_18	CH_PA_01_18	CH_PA_01_18	CH_PA_01_18	CH_PA_01_18
NA	CH_PA_01_19	CH_PA_01_19	CH_PA_01_19	CH_PA_01_19	CH_PA_01_19
NA	CH_PA_01_20	CH_PA_01_20	CH_PA_01_20	CH_PA_01_20	NA
NA	CH_PA_01_21	CH_PA_01_21	CH_PA_01_21	CH_PA_01_21	NA
NA	CH_PA_01_22	CH_PA_01_22	CH_PA_01_22	CH_PA_01_22	NA
NA	CH_PA_01_23	CH_PA_01_23	CH_PA_01_23	CH_PA_01_23	CH_PA_01_23
NA	CH_PA_01_24	CH_PA_01_24	CH_PA_01_24	CH_PA_01_24	CH_PA_01_24
NA	CH_PA_01_25	CH_PA_01_25	CH_PA_01_25	CH_PA_01_25	CH_PA_01_25
NA	CH_PA_02_01	CH_PA_02_01	CH_PA_02_01	CH_PA_02_01	CH_PA_02_01
NA	CH_PA_02_02	CH_PA_02_02	CH_PA_02_02	CH_PA_02_02	CH_PA_02_02
NA	CH_PA_02_03	CH_PA_02_03	CH_PA_02_03	CH_PA_02_03	CH_PA_02_03
NA	CH_PA_02_04	CH_PA_02_04	CH_PA_02_04	CH_PA_02_04	CH_PA_02_04
NA	CH_PA_02_05	CH_PA_02_05	CH_PA_02_05	CH_PA_02_05	CH_PA_02_05
